answerKey,id,question,question_concept,choices,stem
B,8d0b2621524162b7c900ebba92bf7019,"{'question_concept': 'sitting down', 'choices': [{'label': 'A', 'text': 'fall asleep'}, {'label': 'B', 'text': 'flatulence'}, {'label': 'C', 'text': 'sigh of relief'}, {'label': 'D', 'text': 'medium'}, {'label': 'E', 'text': 'comfort'}], 'stem': 'Bill sits down on a whoopee cushion, what sound does he make when he sits?'}",sitting down,"[{'label': 'A', 'text': 'fall asleep'}, {'label': 'B', 'text': 'flatulence'}, {'label': 'C', 'text': 'sigh of relief'}, {'label': 'D', 'text': 'medium'}, {'label': 'E', 'text': 'comfort'}]","Bill sits down on a whoopee cushion, what sound does he make when he sits?"
C,136c08fe01cb3e029b18b62997267810,"{'question_concept': 'going to party', 'choices': [{'label': 'A', 'text': 'smoking pot'}, {'label': 'B', 'text': 'happiness'}, {'label': 'C', 'text': 'laughter'}, {'label': 'D', 'text': 'babies'}, {'label': 'E', 'text': 'meet new people'}], 'stem': 'What is likely heard by those going to a party?'}",going to party,"[{'label': 'A', 'text': 'smoking pot'}, {'label': 'B', 'text': 'happiness'}, {'label': 'C', 'text': 'laughter'}, {'label': 'D', 'text': 'babies'}, {'label': 'E', 'text': 'meet new people'}]",What is likely heard by those going to a party?
B,819890987657d108834837af52d7b42b,"{'question_concept': 'prince', 'choices': [{'label': 'A', 'text': 'england'}, {'label': 'B', 'text': 'fairy tale'}, {'label': 'C', 'text': 'castle'}, {'label': 'D', 'text': 'palace'}, {'label': 'E', 'text': 'court'}], 'stem': 'A handsome prince is a stock character common to what?'}",prince,"[{'label': 'A', 'text': 'england'}, {'label': 'B', 'text': 'fairy tale'}, {'label': 'C', 'text': 'castle'}, {'label': 'D', 'text': 'palace'}, {'label': 'E', 'text': 'court'}]",A handsome prince is a stock character common to what?
B,033908492f55b9092e0fbdbcf49bab94,"{'question_concept': 'pacific northwest', 'choices': [{'label': 'A', 'text': 'united states'}, {'label': 'B', 'text': 'united states'}, {'label': 'C', 'text': 'washington'}, {'label': 'D', 'text': 'oregon'}, {'label': 'E', 'text': 'british columbia'}], 'stem': 'What covers the largest percentage of the pacific northwest?'}",pacific northwest,"[{'label': 'A', 'text': 'united states'}, {'label': 'B', 'text': 'united states'}, {'label': 'C', 'text': 'washington'}, {'label': 'D', 'text': 'oregon'}, {'label': 'E', 'text': 'british columbia'}]",What covers the largest percentage of the pacific northwest?
E,b67f97a3fd9f4025d34f927a7a616512,"{'question_concept': 'balls', 'choices': [{'label': 'A', 'text': 'sporting event'}, {'label': 'B', 'text': 'gym'}, {'label': 'C', 'text': 'toy store'}, {'label': 'D', 'text': 'baseball'}, {'label': 'E', 'text': 'soccer game'}], 'stem': 'When black and white balls are kicked with feet what is being played?'}",balls,"[{'label': 'A', 'text': 'sporting event'}, {'label': 'B', 'text': 'gym'}, {'label': 'C', 'text': 'toy store'}, {'label': 'D', 'text': 'baseball'}, {'label': 'E', 'text': 'soccer game'}]",When black and white balls are kicked with feet what is being played?
A,866deeda79fe257ffcfc08c674962894,"{'question_concept': 'snake', 'choices': [{'label': 'A', 'text': 'nature'}, {'label': 'B', 'text': 'pet shop'}, {'label': 'C', 'text': 'georgia'}, {'label': 'D', 'text': 'tropical forest'}, {'label': 'E', 'text': 'france'}], 'stem': ""A snake is not something you want to come across on a plane, but it's most likely to happen while out in mother what?""}",snake,"[{'label': 'A', 'text': 'nature'}, {'label': 'B', 'text': 'pet shop'}, {'label': 'C', 'text': 'georgia'}, {'label': 'D', 'text': 'tropical forest'}, {'label': 'E', 'text': 'france'}]","A snake is not something you want to come across on a plane, but it's most likely to happen while out in mother what?"
E,0377b8205981a2da2da4c5b80b27057c,"{'question_concept': 'smoking', 'choices': [{'label': 'A', 'text': 'inhale'}, {'label': 'B', 'text': 'unhealthy'}, {'label': 'C', 'text': 'a chimney'}, {'label': 'D', 'text': 'go outside'}, {'label': 'E', 'text': 'coughing'}], 'stem': 'If someone had been smoking, an easy way to tell would be if they were what?'}",smoking,"[{'label': 'A', 'text': 'inhale'}, {'label': 'B', 'text': 'unhealthy'}, {'label': 'C', 'text': 'a chimney'}, {'label': 'D', 'text': 'go outside'}, {'label': 'E', 'text': 'coughing'}]","If someone had been smoking, an easy way to tell would be if they were what?"
C,411b40d253960936de500ef3a57d650b,"{'question_concept': 'smart', 'choices': [{'label': 'A', 'text': 'garish'}, {'label': 'B', 'text': 'bright'}, {'label': 'C', 'text': 'ignorant'}, {'label': 'D', 'text': 'make invisible'}, {'label': 'E', 'text': 'backward'}], 'stem': 'Billy was smart but inexperienced.  In many ways he was what?'}",smart,"[{'label': 'A', 'text': 'garish'}, {'label': 'B', 'text': 'bright'}, {'label': 'C', 'text': 'ignorant'}, {'label': 'D', 'text': 'make invisible'}, {'label': 'E', 'text': 'backward'}]",Billy was smart but inexperienced.  In many ways he was what?
A,339dbff196404f63ac8660da1033bfee,"{'question_concept': 'advertisement', 'choices': [{'label': 'A', 'text': 'magazine'}, {'label': 'B', 'text': 'email'}, {'label': 'C', 'text': 'store'}, {'label': 'D', 'text': 'bus'}, {'label': 'E', 'text': 'closet'}], 'stem': 'Where can someone find a shiny advertisement?'}",advertisement,"[{'label': 'A', 'text': 'magazine'}, {'label': 'B', 'text': 'email'}, {'label': 'C', 'text': 'store'}, {'label': 'D', 'text': 'bus'}, {'label': 'E', 'text': 'closet'}]",Where can someone find a shiny advertisement?
D,6401f11df53df1ef3f403de9a66150d7,"{'question_concept': 'lizards', 'choices': [{'label': 'A', 'text': 'four legs'}, {'label': 'B', 'text': 'sex to produce offspring'}, {'label': 'C', 'text': 'pictures'}, {'label': 'D', 'text': 'bones'}, {'label': 'E', 'text': 'tail'}], 'stem': 'The only thing left of the ancient giants lizards are fossils and what?'}",lizards,"[{'label': 'A', 'text': 'four legs'}, {'label': 'B', 'text': 'sex to produce offspring'}, {'label': 'C', 'text': 'pictures'}, {'label': 'D', 'text': 'bones'}, {'label': 'E', 'text': 'tail'}]",The only thing left of the ancient giants lizards are fossils and what?
